,Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,produce_variety,Type_of_Commodity,Package_Type,package_weight(Kg),Day,Month,Year,Price
51,Horticulture,Onions Dry,net,13,KES992.00,3/1/2012,1,28,7,13,1,3,2012,992
52,Horticulture,Spring Onions,Bag,142,KES1981.00,3/1/2012,1,36,0,142,1,3,2012,1981
53,Horticulture,Chillies,Bag,38,KES2954.00,3/1/2012,1,10,0,38,1,3,2012,2954
54,Horticulture,Cucumber,Bag,50,KES2413.00,3/1/2012,1,13,0,50,1,3,2012,2413
55,Horticulture,Capsicums,Bag,50,KES3247.00,3/1/2012,1,6,0,50,1,3,2012,3247
56,Horticulture,Brinjals,Bag,44,KES1559.00,3/1/2012,1,4,0,44,1,3,2012,1559
57,Horticulture,Cauliflower,crate,39,KES2018.00,3/1/2012,1,9,6,39,1,3,2012,2018
58,Horticulture,Lettuce,Bag,51,KES2939.00,3/1/2012,1,23,0,51,1,3,2012,2939
59,Horticulture,Passion Fruits,Bag,57,KES3351.00,3/1/2012,1,30,0,57,1,3,2012,3351
60,Horticulture,Oranges,Bag,93,KES3075.00,3/1/2012,1,29,0,93,1,3,2012,3075
61,Horticulture,Lemons,Bag,95,KES1300.00,3/1/2012,1,22,0,95,1,3,2012,1300
62,Horticulture,Mangoes Local,Bag,126,KES2015.00,3/1/2012,1,25,0,126,1,3,2012,2015
63,Horticulture,Mangoes Ngowe,Sm Basket,25,KES1130.00,3/1/2012,1,26,5,25,1,3,2012,1130
64,Horticulture,Limes,net,13,KES541.00,3/1/2012,1,24,7,13,1,3,2012,541
65,Horticulture,Pineapples,Dozen,13,KES748.00,3/1/2012,1,32,1,13,1,3,2012,748
66,Horticulture,Pawpaw,Lg Box,54,KES1503.00,3/1/2012,1,31,3,54,1,3,2012,1503
67,Horticulture,Avocado,Bag,90,KES2252.00,3/1/2012,1,0,0,90,1,3,2012,2252
68,Horticulture,Kales,Bag,50,KES2049.00,3/1/2012,1,21,0,50,1,3,2012,2049
69,Horticulture,Cabbages,Ext Bag,126,KES2625.00,4/1/2012,1,5,2,126,1,4,2012,2625
70,Horticulture,Cooking Bananas,Med Bunch,22,KES543.00,4/1/2012,1,11,4,22,1,4,2012,543
71,Horticulture,Ripe Bananas,Med Bunch,14,KES623.00,4/1/2012,1,34,4,14,1,4,2012,623
72,Horticulture,Carrots,Ext Bag,138,KES3536.00,4/1/2012,1,7,2,138,1,4,2012,3536
73,Horticulture,Tomatoes,Lg Box,64,KES2820.00,4/1/2012,1,38,3,64,1,4,2012,2820
74,Horticulture,Onions Dry,net,13,KES1174.00,4/1/2012,1,28,7,13,1,4,2012,1174
75,Horticulture,Spring Onions,Bag,142,KES1833.00,4/1/2012,1,36,0,142,1,4,2012,1833
76,Horticulture,Chillies,Bag,38,KES2769.00,4/1/2012,1,10,0,38,1,4,2012,2769
77,Horticulture,Cucumber,Bag,50,KES2207.00,4/1/2012,1,13,0,50,1,4,2012,2207
78,Horticulture,Capsicums,Bag,50,KES2889.00,4/1/2012,1,6,0,50,1,4,2012,2889
79,Horticulture,Brinjals,Bag,44,KES1692.00,4/1/2012,1,4,0,44,1,4,2012,1692
80,Horticulture,Cauliflower,crate,39,KES2865.00,4/1/2012,1,9,6,39,1,4,2012,2865
81,Horticulture,Lettuce,Bag,51,KES3729.00,4/1/2012,1,23,0,51,1,4,2012,3729
82,Horticulture,Passion Fruits,Bag,57,KES3589.00,4/1/2012,1,30,0,57,1,4,2012,3589
83,Horticulture,Oranges,Bag,93,KES2792.00,4/1/2012,1,29,0,93,1,4,2012,2792
84,Horticulture,Lemons,Bag,95,KES1199.00,4/1/2012,1,22,0,95,1,4,2012,1199
85,Horticulture,Mangoes Local,Bag,126,KES1993.00,4/1/2012,1,25,0,126,1,4,2012,1993
86,Horticulture,Mangoes Ngowe,Sm Basket,25,KES1069.00,4/1/2012,1,26,5,25,1,4,2012,1069
87,Horticulture,Limes,net,13,KES601.00,4/1/2012,1,24,7,13,1,4,2012,601
88,Horticulture,Pineapples,Dozen,13,KES747.00,4/1/2012,1,32,1,13,1,4,2012,747
89,Horticulture,Pawpaw,Lg Box,54,KES1538.00,4/1/2012,1,31,3,54,1,4,2012,1538
90,Horticulture,Avocado,Bag,90,KES2044.00,4/1/2012,1,0,0,90,1,4,2012,2044
91,Horticulture,Kales,Bag,50,KES1580.00,4/1/2012,1,21,0,50,1,4,2012,1580
92,Horticulture,Cabbages,Ext Bag,126,KES2105.00,5/1/2012,1,5,2,126,1,5,2012,2105
93,Horticulture,Cooking Bananas,Med Bunch,22,KES565.00,5/1/2012,1,11,4,22,1,5,2012,565
94,Horticulture,Ripe Bananas,Med Bunch,14,KES630.00,5/1/2012,1,34,4,14,1,5,2012,630
95,Horticulture,Carrots,Ext Bag,138,KES3752.00,5/1/2012,1,7,2,138,1,5,2012,3752
96,Horticulture,Tomatoes,Lg Box,64,KES3302.00,5/1/2012,1,38,3,64,1,5,2012,3302
97,Horticulture,Onions Dry,net,13,KES1153.00,5/1/2012,1,28,7,13,1,5,2012,1153
98,Horticulture,Spring Onions,Bag,142,KES1793.00,5/1/2012,1,36,0,142,1,5,2012,1793
99,Horticulture,Chillies,Bag,38,KES2889.00,5/1/2012,1,10,0,38,1,5,2012,2889
100,Horticulture,Cucumber,Bag,50,KES2072.00,5/1/2012,1,13,0,50,1,5,2012,2072
101,Horticulture,Capsicums,Bag,50,KES2758.00,5/1/2012,1,6,0,50,1,5,2012,2758
102,Horticulture,Brinjals,Bag,44,KES1390.00,5/1/2012,1,4,0,44,1,5,2012,1390
103,Horticulture,Cauliflower,crate,39,KES2969.00,5/1/2012,1,9,6,39,1,5,2012,2969
104,Horticulture,Lettuce,Bag,51,KES3390.00,5/1/2012,1,23,0,51,1,5,2012,3390
105,Horticulture,Passion Fruits,Bag,57,KES3633.00,5/1/2012,1,30,0,57,1,5,2012,3633
106,Horticulture,Oranges,Bag,93,KES2708.00,5/1/2012,1,29,0,93,1,5,2012,2708
107,Horticulture,Lemons,Bag,95,KES1461.00,5/1/2012,1,22,0,95,1,5,2012,1461
108,Horticulture,Mangoes Local,Bag,126,KES1960.00,5/1/2012,1,25,0,126,1,5,2012,1960
109,Horticulture,Mangoes Ngowe,Sm Basket,25,KES1132.00,5/1/2012,1,26,5,25,1,5,2012,1132
110,Horticulture,Limes,net,13,KES681.00,5/1/2012,1,24,7,13,1,5,2012,681
111,Horticulture,Pineapples,Dozen,13,KES788.00,5/1/2012,1,32,1,13,1,5,2012,788
112,Horticulture,Pawpaw,Lg Box,54,KES1428.00,5/1/2012,1,31,3,54,1,5,2012,1428
113,Horticulture,Avocado,Bag,90,KES1939.00,5/1/2012,1,0,0,90,1,5,2012,1939
114,Horticulture,Kales,Bag,50,KES1206.00,5/1/2012,1,21,0,50,1,5,2012,1206
115,Horticulture,Cabbages,Ext Bag,126,KES2221.00,6/1/2012,1,5,2,126,1,6,2012,2221
116,Horticulture,Cooking Bananas,Med Bunch,22,KES589.00,6/1/2012,1,11,4,22,1,6,2012,589
117,Horticulture,Ripe Bananas,Med Bunch,14,KES659.00,6/1/2012,1,34,4,14,1,6,2012,659
